QuoteText,Topic,Topic_Prob
"אנחנו נתחיל עם שאילתות דחופות, אבל לפני השאילתות הדחופות, חברי הכנסת, חברות הכנסת, ברצוני לברך את נציגי קהילת יהודי אתיופיה החיים אתנו כאן בארץ, ובראשם הקייסים המכובדים, כל ראשי הקהילה, חברי הכנסת בהווה ובעבר, לרגל חגיגות חג הסיגד שחל היום. ",תחבורה,0.87217486
"במסגרת התיקון הזה תוקן גם פרק ד' לחוק, שעניינו מתקן השהייה הפתוח, מה שמכונה מתקן חולות, מתקן שנועד לתת מענה למסתננים שלא ניתן להרחיקם מישראל בעת הזו, מתוך ניסיון להתאימו לסטנדרטים החוקתיים שקבע בית-המשפט העליון בפסיקותיו. ",תחבורה,0.542335
"זה יום חשוב. אנחנו נשתדל להעלות כאן נקודות כדי שאם נצליח להעלותן כאן והדיון יהיה משמעותי, אין לי ספק שנוכל להצביע על כמה נקודות שנוכל להמליץ לממשלה לאמץ אותן. הכול תלוי בנוכחים סביב השולחן, כמה הם יהיו יצירתיים וכמה ידעו לגעת בנקודות החשובות. אתם בפרקטיקה נוגעים בעשייה הזאת, כל אחד בתחומו הוא וכל אחד יודע כמה המדינה עושה וכמה המדינה יכולה לעשות עוד. אנחנו כאן כדי לשמוע את הדברים ולהביא אותם על הכתב.",תחבורה,0.88385946
"	אני פותח את הישיבה של הוועדה לפניות הציבור. אני אבקש בתחילת הישיבה, אחרי שאגיד את הכותרת, שכל אחד יציג את עצמו כדי שנדע מי ומי בהולכים.",תחבורה,0.7286127
"היום נעבור על ההמלצות של ועדות גרונאו, נראה שהן התקבלו ונשאל שאלות על הסכנה באי- קבלתו של חלק מן ההמלצות. ראו, הדוח שנכתב בעניין ב- 2012 אם אני לא טועה, היה דוח מאוד מאוד קשה, וברור שצריכים לעשות תיקונים משמעותיים. אין ספק שקבלת המלצות של ועדת גרונאו בהחלט יכולה לשפר במידה ניכרת את המצב. ",תחבורה,0.9674434
"הנושא זיקוק ביתי  של משקאות משכרים. הנושא הובא לפתחה של הוועדה דרך אנשים שעוסקים במבשלות בירה ביתיות קטנות, שנתקלו ונתקלים בכל מיני קשיים חוקיים ומנהלתיים. אולי נתחיל בלשמוע. יש לנו כאן נציגי מבשלות. שמך? גדי דביר, מאיפה אתה?",תחבורה,0.9609447
"אנחנו ניתן למשפחה אחת ממשפחות האומנה לדבר. נתחיל אתך ואחר כך נעבור לחלק המשפטי. בבקשה, תציגי את עצמך.",תחבורה,0.54473263
"חשוב לי מאד לחדד. לא כל הרבנים הם מסיתים. אני מניחה שרוב רובם של הרבנים אינם. אפשר להסכים עם דברים שאומרים, אפשר לא להסכים עם דברים באומרים. דעות זה דבר חשוב, אבל תמיד לכל הדעות צריך להיות איזה שהוא קו אדום.",תחבורה,0.5816616
"50% מההרוגים בתאונות עבודה בענף הבנייה. רק בחודש נובמבר 2015, מתוך 8 הרוגים בתאונות עבודה, חמישה הם בענף הבנייה. ",תחבורה,0.85306853
"כך שאנחנו מצד אחד באמת רוצים לנהל מאבק תקיף מאוד בהון השחור. לפני שנתיים בחצי מחוק ההסדרים, שחברי-הכנסת פחות באו אליו, אבל היה כדי לתת עוד יכולות, אם זה נאמנויות וכל הדברים האחרים, כדי להיאבק בהון השחור. זה הצד האחד.",תחבורה,0.95756775
"והנה, אני אומר לכם, אני כיושב ראש הוועדה לא מתכונן להתערב לגלגל""צ בתכנים. לא רוצה להתערב. לא מתכוון להתערב. מה שכן, כן, אני רוצה לדעת את תהליך העבודה ואת תהליך קבלת ההחלטות. אני כן רוצה לדעת שהחברה הישראלית מקבלת את מה שהיא רוצה. והנה אני אומר לכם, במינון של מי שיקבע כל פלח וכל פלג וכל זמר וכל עדה וכל סגנון וכל זה, מה שתרצו, תגדירו את זה איך שאתם רוצים ובכוונה, כדי לא ליפול בפה של אף אחד, אני אומר את זה בכל המונחים.",תחבורה,0.9703902
"אני שרה קנדלר. אנחנו עדיין בסדרת ההקלות שלנו, שהתחלנו כבר לפני שנתיים. יש פה תקנות פרטי תשקיף, תקנות דוח שנתי ותקנות דוחות, והכול בעצם באותו עניין. ",תחבורה,0.6051684
"שיעור העומדים בהצלחה בקרב בוגרי חו""ל, אלה שלמדו בחוץ לארץ, בבחינות רישוי לקבל את הרישיון בתחום הרפואה עומד על 37%. קיבלתי פנייה אישית מרופא מצרפת שעלה עם משפחתו ומאחר שאינו מצליח לעבוד במקצוע ולפרנס את משפחתו הוא מתכוון לחזור לצרפת. זה באמת מצער כיוון שזו כנראה דוגמה למקרים רבים. ",תחבורה,0.73522043
"בוקר טוב. אני מתכבד לפתוח את ישיבת ועדת החינוך, התרבות והספורט של הכנסת, 6 בינואר 2016, כ""ה בטבת תשע""ו, בנושא פסילת משרד החינוך של הספר ""גדר חיה"" – רומן בין יהודייה לערבי. אני ביקשתי להניח את הנושא על סדר היום. זה לא בעקבות הצעה לסדר, לא בקשה לדיון מהיר, הבנתי שנושא נמצא על סדר היום ונלקח על ידי כל מאן דבעי לכל מיני כיוונים. אמרתי, ראוי שהשולחן הזה ידון בסוגיה הזו, אני אומר לכם בכנות את דעתי האישית קודם. ",תחבורה,0.56526464
"אנחנו נפתח את הישיבה. אני רוצה לפתוח בלקרוא לכם כמה ציטוטים: ""הארגון מסוגל לבצע פעולות שאינן לרוחם של גורמים בממשלה או בממסד באופן כללי. מדובר בפעולות שהרשויות המקומיות ביהודה ושומרון ואפילו מועצת יש""ע נרתעות מלבצע מסיבות מובנות. חלק מהפעולות אינן ממוסדות לגמרי ולפעמים הן אפילו מצויות בתחום האפור. אלה פעולות שמועצות לא מסוגלות לעשות בגלל הקושי המשפטי והציבורי"". ",תחבורה,0.721492
"יש פה סעיף אחד שנראה לי בעייתי שבחלק מהדברים הם רוצים לוותר על האישור של ועדת הכספים. אני גיליתי את זה. אני לא מבין שום דבר בזה, אבל אני קורא, ואז אני רואה כל מיני דברים מוזרים. ",תחבורה,0.55033267
