QuoteText,Topic,Topic_Prob
"נכון שבחוק נקבע שוועדת המדע תקבל ויוגש לפניה הדוח, אבל אני אומר לכם שאנחנו רואים חשיבות גדולה גם בלי חובת החוק, בגלל החשיבות והאחריות שיש למועצה להסדרת מחקרים במחוללי מחלות ביולוגיים. אמנם כתוב שגדול המצווה ועושה מי שלא מצווה ועושה. דבר שלא מצווה יותר קל לעשות מאשר מצווים. כשמצווים יש כבר מחלוקת, כשמצווים עליך, אבל במקרה הזה קל לנו, יש לנו רצון ואנחנו שמחים לשמוע דוח בדבר החשוב מאוד הזה ובאחריות הגדולה שיש עליכם, שחלה על המועצה לביטחון ובטיחות ביולוגית במדינת ישראל. ",התנחלויות,0.5186373
"תראו, בעצם מה שמאחד את הדיונים, זה הדבר שהוא החשוב ביותר - תמיד אומרים העיקר הבריאות וזה נכון. אז בחרתי לעסוק בנושא הזה. האמת אדוני, השר ואדוני המנכ""ל, זו לא הפעם הראשונה בתקופה יחסית קצרה, שנושא הבריאות עולה כאן, כי הוא באמת הדבר החשוב ביותר, ואני רוצה לציין את כבוד השר, שזו לו הפעם השנייה, בתקופת זמן נורא נורא קצרה, ובאמת תודה על השתתפותך. הפעם השר להגיע על אף שהוועדה אפילו לא רצתה להטריח אותו ואנחנו מאד מעריכים את העניין הזה. ",התנחלויות,0.8654305
"אבל בסוף יש כבוד הכנסת. זה לא הכבוד האישי שלי, זה לא הכבוד של מאן דהו, זה כבודה של הכנסת ודרך פעילותה ועבודתה. ובכל פעם אנחנו מוצאים את עצמנו מכרסמים עוד ועוד, ואחר כך מצטערים גם על זה, אבל דואגים להרוס עוד יותר.",התנחלויות,0.54038036
"בשלושה נושאים אנחנו מבקשים לדון בחלק הראשון של הישיבה. הנושא הראשון קודם כל אנחנו מצווים ועושים. לפי החוק אנחנו אמורים לקבל את הדוח השנתי של האקדמיה הלאומית שלנו. כתוב שגדול המצוּוה ועושה מי שאינו מצווה ועושה. מי שמצווה השכר שלו יותר גדול, בגלל שתמיד יש סיבות למה לא, מי שלא מצווה אז עושה. אני רק רוצה להגיד לכם שאנחנו נקבל על זה שכר נמוך, בגלל שגם אם לא היה ציווי וגם אם לא היינו מחויבים לפי החוק אנחנו היינו מתכבדים והיינו גם מקיימים את הישיבה הזאת, לשמוע מתוך הערכה גדולה והחשיבות הגדולה והצורך והתועלת שאנחנו רואים בפעילות של האקדמיה הלאומית למדעים. אנחנו יודעים שהכותרת של החשיבות שלנו זה באמת לאגד את טובי אנשי המדע בישראל, במיוחד לטפח פעילות מדעית ולקדם אותה, לכן אנחנו רואים באמת זכות לשבת לדון על זה, גם אם לא היינו צריכים על פי חוק לשבת ולקבל את הדוח. ",התנחלויות,0.6335908
"נכון, פורסמו על זה מחקרים. ותמיד היה ויכוח, האם קליקה סגורה היא טובה יותר? אנשים שכולם נראים אותו דבר, חושבים אותו דבר, באים מאותו בית-מדרש, אז לכאורה הם מגובשים, לבין הערך המוסף שיש בגיוון. ויותר ויותר חברות גדולות ובין-לאומיות מבינות שיש ערך מוסף אמיתי לגיוון, זאת אומרת לזה שאתה נמצא עם אנשים שהם לא זהים לך, למשל בחדשנות, ביצירתיות, ביכולת לא להיות תפוס בפרדיגמות וכו'. ויותר ויותר גם בעולם העסקי מדברים על גיוון כערך.",התנחלויות,0.9767171
"תראו, מספר שבועות שאני באמת עוברת על החומרים, בודקת אותם, נשלפים אלי מדי יום צילומים, סרטונים וידיעות מהשטח שמבהירות שהמצב מאוד בעייתי. יותר מזה, הוא חמור. אם אנחנו מדברים שבמדינת ישראל יש מלחמה בתאונות הדרכים, ככה לפחות מדובר, אז איך המלחמה הזאת באה לידי ביטוי כשמדובר בחיילים שצריכים להיכנס ולצאת מבסיסי צה""ל? ",התנחלויות,0.54293305
"אני מתנצל, אני הולך לרביזיה. חבל שהדיון הזה מגיע לחמש דקות. אני חושב שזה לא הגיוני. אם אתה רוצה, תקיים אותו אבל לא יכול להיות שבחמש דקות נסיים את הדיון.",התנחלויות,0.59911716
"מדוע ההצעה הזאת טובה, כי היא לטובת הציבור. מדוע ההצעה הזאת רעה, משום שהיא לוקחת תעשייה שלמה כמו קרנות הנאמנות ומנהלי התיקים והיא תחסל אותם, היא תגרום לריכוזיות, היא תגרום לכך שנפחי המסחר בבורסה ירדו. הוועדה, חברי הוועדה כאן, הכנסת, ישבו אתנו, איך דואגים לייבוש הבורסה, זאת הצעה שתייבש את הבורסה אם לא יעשו את השינוי הקטן שאנחנו מבקשים.",התנחלויות,0.72766167
"שלום לכולם. חברים יקרים, ברוכים הבאים כולם. היום אנחנו רוצים כאן בכנסת ישראל לציין יום מיוחד לרגל 85 שנים לאצ""ל. עבורי ועבור חברי דוד ביטן, אין בכלל שאלה שזה אירוע מיוחד. אנחנו יודעים היטב כיצד נראה והתהווה הרעיון של האצ""ל, על ברכי בית""ר, ואנחנו כאן כדי באמת לעורר דיון בנושא הזה, להזכיר ולדבר. ",התנחלויות,0.6217248
"הדיון מתקיים בעקבות פניות שהגיעו לוועדה ממאבטחים שהתלוננו על תנאי השמירה הפיזיים שלהם. מהפניות שהגיעו לוועדה עולה כי בעמדות השמירה אין תמיד אפילו שקע חשמלי, חם בקיץ וקר בחורף, חלונות ודלתות שבורים ולא נסגרים ולפעמים גם את המדים של העובדים קשה ללבוש בקיץ. חברת הכנסת יוליה מלינובסקי פנתה בקשר למאבטחים שמועסקים בעמדות השמירה בבית החולים סורוקה. המאבטחים התלוננו שאין להם חדר מנוחה, אין להם אפילו מקרר קטן לשים את האוכל שמביאים מהבית. אם אני זוכר טוב, אז סורוקה נמצאת ליד איפה שאברהם אבינו שכן בבאר שבע וחם מאוד. בעמדות השמירה בקיץ יש כיסא ושמשייה בלבד, בחורף המאבטחים חשופים לגשם ולקור.",התנחלויות,0.9455892
