,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
1102,בסקר עדכני שקיימו בשבוע איגוד הארגונים היהודיים באירופה ומרכז רבני אירופה בקרב מדגם מייצג מקרב כ-700 רבנים וראשי קהילות יהודיות ברחבי היבשת מעלה ישנה עלייה במגמות אנטישמיות במדינות מערב אירופה לעומת במדינות מזרח אירופה ניכרת מגמת ירידה באנטישמיות הסקר נערך לקראת מנכל איגוד הארגונים היהודיים באירופה הרב מנחם מרגולין וסמנכל מרכז רבני אירופה הרב אריה גולדברג מציינים רבנים וראשי קהילות מצרפת שווייץ בלגיה גרמניה הולנד וצפון אירלנד מדווחים עלייה בגילויי האנטישמיות במדינותיהם לעומתם ממצאי הסקר שנערך כאמור רחבי היבשת במדינות מזרח אירופה כגון רוסיה אוקראינה פולין הונגריה ובלרוס ניכרת בתקופה האחרונה ירידה בגילויי האנטישמיות,חינוך,0.98971754,"('0.007*""החינוך"" + 0.007*""גבוהה"" + 0.006*""הגבוהה"" + 0.006*""להשכלה"" + 0.004*""ההשכלה"" + 0.004*""במוסדות"" + 0.004*""מודה"" + 0.004*""התרבות"" + 0.004*""החשמל"" + 0.004*""האנרגיה""',)",6
5035,נוהל פונדקאות חול שעליו ניהלנו בשנה שעברה שנתיים המשפט העליון דרש לחשוף הנוהל נעשה נוהל שעוסק בפונדקאות ישראלים מחוץ לשטחי מדינת נוהל חול התוצאות היעדר פרסום הנוהל שמנסים לעבור התהליך מקבלים הכוונה מהו התהליך אמורים לעבור שקועים בבירוקרטיה איומה נאלצים להשתמש בעורכי דין ולהוציא כספים בשעה מבינים יכולים להבין בהיעדר נוהל שקוף לאיפה אמורים אמורים הזכויות נורא נורא נהלים אמורים להתפרסם איזו סיבה שהנוהל יפורסם ושאנחנו ועדה מבקשים הנוהל מקבלים החלטה מעמיק שנעשה שהנוהל חייב מועבר חודש ימים ועדיין חולפת מקבלים התשובות,בריאות,0.98823977,"('0.022*""החולים"" + 0.022*""בתי"" + 0.017*""הספר"" + 0.010*""הבריאות"" + 0.010*""בבתי"" + 0.010*""חולים"" + 0.005*""השואה"" + 0.005*""לבתי"" + 0.004*""קופות"" + 0.004*""ניצולי""',)",6
521,לכולן ולכולם לחברת רוזין לחבר בגין נוסף חיסיון טיפול נפשי בהליכים משפטיים שעניינם עבירות מין חקיקה התשפא–2021 ממשרד המשפטים נמצאות איתנו עורכת הדין נילי פינקלשטיין עורכת הדין יפעת רווה עורכת הדין אשרת שהם; מהמשרד לביטחון פנים עורכת הדין אפרת ליפשיץ והיועצת המשפטית עדי טל; מהמועצה לשלום הילד עורכת הדין לירון אשל; מאיגוד מרכזי סיוע לנפגעות ונפגעי תקיפה מינית עורכת הדין איילת רזין אור; מאיגוד העובדות והעובדים הסוציאליים עורכת הדין ועובדת סוציאלית אפרת רותם עורכת הדין ועובדת סוציאלית עידן חלילי הזכרנו בנוכחים,תחבורה,0.988096,"('0.018*""התחבורה"" + 0.017*""הדין"" + 0.016*""המדע"" + 0.014*""הציבורית"" + 0.014*""והטכנולוגיה"" + 0.013*""ציבורית"" + 0.007*""עורכת"" + 0.007*""תחבורה"" + 0.006*""המקומי"" + 0.005*""העיר""',)",6
6585,בטרם קריסת חברה קרסה חברה שאמרתי היות ואסור לעסוק בעניינים ספציפיים כללי לידיעת הציבור התופעה המסוכנת שקשורה להונאות בשוק ההון נעסוק בחברות ספציפיות צריכים להזהיר השקעה פיננסית כרוכה מטבעה בסיכונים והשקעה בכספים והשקעות שאינן מפוקחות הסיכונים משמעותיים שהתממשותם עלולה לאובדן כספי ההשקעה חבל שאנשים מאבדים מיטב כספים ודווקא וחסכו בעמל רב השקיעו בהשקעות פיננסיות שנראו מבטיחות בתשואות גבוהות למדו ארוחות חינם בחלק מהמקרים כלל סיכוי להרוויח שכן בחלק מהמקרים בהשקעה בעלת סיכון גבוה במקרים בתרמיות השקעות כספים,נשים,0.98747194,"('0.024*""נשים"" + 0.007*""ציבור"" + 0.006*""אלימות"" + 0.006*""הכנסה"" + 0.005*""מוסדות"" + 0.005*""הנשים"" + 0.004*""לנשים"" + 0.003*""חייבת"" + 0.003*""במשפחה"" + 0.003*""רשימה""',)",6
1418,באחד מהביקורים בשניים שלושה לשכות רווחה הנושאים שעלו על-ידי מנהלי הלשכה שהעומס שמוטל עליהם משתחרר מתמודד נפש מבית-חולים נשלח לקהילה והרגשה שעוקב אחריהם מתבקשים כמנהלי לשכות רווחה לעקוב אחריהם שלפי הרפורמה מצחיק קוראת רפורמה השינוי שחל בריאות הנפש הוטלו קופות החולים לטפל הועבר לאחריות קופות החולים מוכנים לטפל לבין מתמודדי נפש מסוכנים ראינו בכפר גדיידה מכר 10 ימים מתמודד נפש שסיים ורצח אשתו עיישה עבאדי שקרה בגדיידה מכר שקרה בעראבה מכירים המקרים שבהם שרצח אימא,בריאות,0.98713905,"('0.022*""החולים"" + 0.022*""בתי"" + 0.017*""הספר"" + 0.010*""הבריאות"" + 0.010*""בבתי"" + 0.010*""חולים"" + 0.005*""השואה"" + 0.005*""לבתי"" + 0.004*""קופות"" + 0.004*""ניצולי""',)",6
9503,אוקיי הבעיה שבו היתר הפקודה רישיון ממנכל הבריאות ממי שהוסמך לכך באפריל 2013 הוקמה לקנביס רפואי היקר במשרד הבריאות שמוסמכת להנפיק למטופלים רישיונות לשימוש בקנביס למטרות רפואיות כאמור פתחתי ואמרתי בחודשים האחרונים קיבלתי פניות שמצביעות ליקוי בתפקוד היקר ברמת המינהל הלא תקין פועלים בלא מתן זכויות בסיסיות לחולים שבאחריותם; זכות הייצוג השימוע; זכות לחופש מידע החלטות רפואיות מתקבלות מגע בדיקה רופא החולה רבות נימוקים החלטה הא ותו נימוקים ללמה חוות הדעת ניתנה,עולים,0.9866236,"('0.016*""העלייה"" + 0.015*""עולים"" + 0.013*""הקליטה"" + 0.011*""אתיופיה"" + 0.010*""יוצאי"" + 0.009*""העולים"" + 0.007*""חדשים"" + 0.007*""חברתי"" + 0.006*""והקליטה"" + 0.005*""מקיימים""',)",6
5617,בשונה מהמצב שנהוג בחלק ממדינות בישראל חובת שקיפות השיחות והמפגשים שנערכים שדלנים לבין נבחרי ציבור ועובדי ציבור בשעה שכאן רמת שקיפות מסוימת וחובה שעברה בחקיקה ללוביסטים לענוג תג הזיהוי הכתום לפנינו ורואים בוועדות השונות במשרדי שיצאו הנחיות נציבות שירות יכולים לבצע מעקב למעשה המעקב היחיד התירוץ שומעים משרים בתשובה שקיבלה העמותה לדמוקרטיה מתקדמת נאמר שבמקרה מסוים שרה מפרסמת הלוז חשש שהתשובות חלקיות משקפות ואפילו יכולות לשקף השאלה התקיימו מפגשים לוביסטים,נשים,0.9862383,"('0.024*""נשים"" + 0.007*""ציבור"" + 0.006*""אלימות"" + 0.006*""הכנסה"" + 0.005*""מוסדות"" + 0.005*""הנשים"" + 0.004*""לנשים"" + 0.003*""חייבת"" + 0.003*""במשפחה"" + 0.003*""רשימה""',)",6
9378,הזיהום פוגע במקורות המים הזמינים באמינות האספקה ומחייב להגדיל היקף ההתפלה אמנם מצטיינת בהתפלה אנרגיה כיוון שבאקוויפר החוף לבדו מוערך נפח האוגר התפעולי המזוהם ב-90 מיליון קוב בקירוב הנזק הפוטנציאל בשל אובדן נפחי המים הזמינים כ-150 מיליון שקלים 16 שקל במקרים מסוימים מקשה זיהום מקורות המים לפתח שטחי הקרקע שמעל המים ולבנות בהם ואף מונע האפשרות מכיוון שהחומרים המזהמים עלולים להתנדף המבנים שמעליהם מכירים המבנים בהם תעשיות לשעבר ודברים,חינוך,0.98605025,"('0.007*""החינוך"" + 0.007*""גבוהה"" + 0.006*""הגבוהה"" + 0.006*""להשכלה"" + 0.004*""ההשכלה"" + 0.004*""במוסדות"" + 0.004*""מודה"" + 0.004*""התרבות"" + 0.004*""החשמל"" + 0.004*""האנרגיה""',)",6
2732,ההיי-טק הישראלי אתגרים מאופיין בכך מתחום שההשתנות בסיס חודשי ושנתי חברות הענק יכולות לקום וליפול בהיי-טק ומוצרי ההיי-טק יכולים להשתנות ממחשב אישי בדור הדור שבעצם גדל תוך מהפכת המחשבים והיום כלים ענין אפליקציות ובעצם בכף ידך מיזרור שבבים בהיבט חומרה בהיבט תוכנה משתנה בסיס חודשים משתנה בסיס חודשי והרגולציה משתנים בסיס תפקידה רלוונטית ההיי-טק החסמים המגבלות הצרכים ולהתאים הרגולציה הממשלתית ההשקעות הממשלתיות להשתנות ולצרכים הדינאמיים עולם ההיי-טק ולהיות כתובת,נשים,0.98601776,"('0.016*""מעמד"" + 0.015*""האישה"" + 0.014*""לקידום"" + 0.010*""מגדרי"" + 0.009*""נשים"" + 0.008*""ולשוויון"" + 0.007*""פותחת"" + 0.004*""הנשים"" + 0.003*""מינית"" + 0.003*""שמחה""',)",6
5371,החוקה ארבעה נושאים באותו עניין הסדר הכרונולוגי 1 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 7 התקנות חל עליהן אישור מיום טו בחשוון התשפא הדברים שעדיין אישרנו; 2 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 8; 3 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספותתיקון 9 תיקון; 4 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספותתיקון 9,קורונה,0.98565423,"('0.029*""הקורונה"" + 0.021*""הוראת"" + 0.014*""נגיף"" + 0.011*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""לחוק"" + 0.008*""מיוחדות"" + 0.008*""1"" + 0.007*""2"" + 0.007*""התקנות""',)",6
