,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
8858,מתקבלות במיטב 6600 פניות מלשבים כמות עצומה המערכת הממוחשבת לטיפול בפניות מלשבים מערכת ה-CRM בטח משמשת הגורמים המטפלים בפניות במיטב ונמצאו ליקויים השימוש במערכת ה-CRM כלל הגורמים במיטב המטפלים בפניות המלשבים היעדר תיעוד במערכת סגירת פניות במערכת מתן מענה הולם למלשב כתוצאה מכך טפול לקוי במלשב המערכת הממוחשבת מאפשרת להפעיל בקרה המשך טפול בפניות לתחקר אותן המצב מקשה יכולתה מיטב לאתר ביעילות מיקומן תקלות בטיפול במלשבים במרכז המידע והשרות שבלשכה המקוונת מיטב 43 עמדות שרות מהן מחוברת למערכת טלפוניה,עולים,0.9877334,"('0.011*""אתיופיה"" + 0.008*""יוצאי"" + 0.007*""הנוער"" + 0.007*""נוער"" + 0.007*""הארץ"" + 0.006*""פערים"" + 0.006*""הגבוהה"" + 0.005*""הסטודנטים"" + 0.005*""ההשכלה"" + 0.005*""הפריפריה""',)",3
1458,הנסבות המחמירות כוללות מקרי הרצח החמורים שמצדיקים קביעת קטגוריה נורמטיבית מתאימה החלק הארי שבהן מיוחד למצב נפשי מיוחד העושה מניע זדוני פסול נוסף למעשה המתה בהמתה המבוצעת תכנון ושקילה בנסיבה שהמטרה לאפשר להקל ביצועה עבירה הימלטות ביצוע עבירה בנסיבה פעולה עונשית במטרה להטיל מרות מורא לכפות אורחות התנהגות ציבור וכך במניע טרור והמניע הגזעני דיברנו הקטגוריות הנסיבות המחמירות והסברתי שישנה קטגוריה שנעוצה בזהות הקורבן בנסיבות קטין שהנאשם אחראי חסר ישע וכן בנסיבה שצפוי למסור עדות במשפט הפלילי,עולים,0.98739344,"('0.027*""העלייה"" + 0.018*""הקליטה"" + 0.014*""מנכל"" + 0.013*""מר"" + 0.010*""מוגבלות"" + 0.010*""והקליטה"" + 0.008*""והתפוצות"" + 0.007*""לישראל"" + 0.007*""לאנשים"" + 0.006*""זכויות""',)",3
2007,הבריאות סירב תוקף למתווה שאומר שהישיבה בחוץ פי התו הסגול קבעו בהתחלה 30 עלו ל-50 אומרים ביקשתי בהנחיה היגיון נתתי דוגמה פשוטה במציאות שלוש מסעדות סמוכות לשנייה מקומות בהם מסעדות צמודות לשנייה מהן להכניס לצורך העניין להושיב בחוץ 50 פי התו הסגול ניקח אותן שלוש מסעדות נהפוך אותן למסעדה בעלים מותר באותו שטח להושיב 50 התו הסגול להסביר לציבור להסביר לעשרות אלפי המסעדנים שמחר בבוקר צריכים להתפרנס להסביר שביקשתי מהממשלה הנחיות שהציבור מסוגל להבין אותן,קורונה,0.9870911,"('0.017*""הקורונה"" + 0.012*""משבר"" + 0.006*""צהל"" + 0.005*""העוני"" + 0.005*""המשבר"" + 0.004*""צריכים"" + 0.004*""לסייע"" + 0.004*""בתקופה"" + 0.003*""הביטחון"" + 0.003*""הנחיות""',)",3
806,משנות ה-50 עדים לאפליה רקע אמונה דתית והרקע לאפליה פסול יהודי מוסרי בטח פוגע בזכויות השיח ההלכתי השיח זכויות שבמדינה מדינה יהודית ודמוקרטית יוכל לעבוד בשבת דתי שקורה שרבים שמבקשים לעבוד בשבת התחילו לעבוד בשבת התחתנו מבקשים יעבדו הזוג הזוג מבקשים יעבדו והאנשים צפויים לפיטורים פי לשון הפניות הראשונות שמגיעות אלינו מעובדים שעבדו בשבת ומבקשים לעבוד בשבת ולמעשה מגלים תוך הבקשה שהמחוקק מאפשר למעסיק לפטר למצמץ ובלי להראות תחושה נוחות המחוקק מאפשר,תחבורה,0.986546,"('0.024*""התחבורה"" + 0.012*""הציבורית"" + 0.006*""בשבת"" + 0.005*""נקרא"" + 0.004*""קיבלתי"" + 0.004*""בחודש"" + 0.004*""בתחבורה"" + 0.004*""ציבורית"" + 0.004*""המיסים"" + 0.003*""לעבוד""',)",3
1054,מאגף התקציבים באוצר נציג השינוי מבנה הבעלות בשבא מציג השינוי אדבר שבא עצמה שבא הוקמה שנות ה-70 בבעלות הבנקים הגדולים אציין האחוזים הבעלות החברה מפעילה רשת תקשורת חברות האשראי לבין המסופים מכירים מבתי העסק מגהצים בכרטיס האשראי בנוסף החברה מפעילה מערכת תקשורת המנפיק ובין הסולק ובעצם החברה מאשרת העסקה בכרטיס החיוב מבחינת אחוזי הבעלות בנק לאומי שמחזיק 42% בנק הפועלים 35% בנק דיסקונט 20% והבינלאומי 3%,כלכלי,0.9853372,"('0.013*""האוצר"" + 0.008*""הכנסה"" + 0.007*""עסקים"" + 0.007*""הכספים"" + 0.006*""המשפטית"" + 0.006*""קטנים"" + 0.006*""ציבורית"" + 0.005*""לדון"" + 0.005*""האשראי"" + 0.004*""לחוק""',)",3
6739,בשיחות שקיימתי האוצר ובשיחות שקיימתי יושב-ראש הכלכלה עלתה טענתנו היטב הקולות שמגיעים לכאן שיספרו ממקום בידם נתונים שונים מהנתונים האבסולוטיים שמגיעים מבנק חשיבות לבחינה צורך תיקונים מסוימים ונדבר בהמשך בחשבון שלוועדות תפקיד מרכזי וחשוב בתיקון והבאת החוקים תומכים בקואליציה ובהחלטות שקולנו יישמע במסגרת הדיונים החקיקה תגיע לוועדות הכלכלה והעבודה והרווחה אומרת שתצטרכו בחשבון העמדה שמייצגת האינדיבידואל הציבור ומאחלת שנצליח לפתרונות הללו דבריי יושב-ראש הכלכלה,בטחון,0.98490083,"('0.007*""חיילים"" + 0.004*""וביטחון"" + 0.004*""ועדות"" + 0.004*""משוחררים"" + 0.004*""יושב-ראש"" + 0.004*""חודשים"" + 0.003*""בודדים"" + 0.003*""ומתן"" + 0.003*""משפחה"" + 0.003*""לקח""',)",3
9140,בהקשר הנכון היושב-ראש כיוון שהביקורת הסגירה הסבר וללא שקיפות הפתיחה הסבר וללא שקיפות המטרה לשמור בריאות הציבור דעתי נוחה מקבלת הסכנה היושב-ראש אזרחי מדינת מנגנון לסגירה ולפתיחה הסכנה אמיתית לבריאות הציבור מרגע שהחלטנו לסגור השמיים סכנה לבריאות הציבור מאותו תכנית אמיתית שתאפשר לאזרחים לנוע לבני הזוג להיכנס משהחלטנו פתאום השמיים בחירות ובאמת זכות דמוקרטית חשובה בריאות הציבור חשובה היושב-ראש שחלק מהסיבה שקיפות,בטחון,0.9844318,"('0.007*""חיילים"" + 0.004*""וביטחון"" + 0.004*""ועדות"" + 0.004*""משוחררים"" + 0.004*""יושב-ראש"" + 0.004*""חודשים"" + 0.003*""בודדים"" + 0.003*""ומתן"" + 0.003*""משפחה"" + 0.003*""לקח""',)",3
1532,החוקה חמישה סטים במגוון נושאים הנושאים ההגבלות סמכויות מיוחדות להתמודדות נגיף הקורונה 29 ישן וכבר עבר מהעולם נאשר פורמלי במהלך סמכויות מיוחדות 30 שמדבר הגבלת פעילות והוראות נוספות חלקו היסטורי חלקו קיים שמדבר השינוי בחלל סגור מחמישה לעשרה הכרזת סמכויות מיוחדות הכרזה בידוד שנכנס לישראל בנסיבות מיוחדות המלוניות צריכים לאשר ההכרזה נוסף שמדבר הארכת תוקף הגבלת היציאה מישראל והכניסה אליה 2 עתה,קורונה,0.9844309,"('0.037*""הקורונה"" + 0.029*""שקלים"" + 0.024*""הוראת"" + 0.024*""מיליון"" + 0.022*""נגיף"" + 0.016*""סמכויות"" + 0.013*""מיוחדות"" + 0.013*""להתמודדות"" + 0.012*""שקל"" + 0.011*""פעילות""',)",3
8519,תקנת השבים נתת בהלכה היהודית מניח במערכת כולה במהות הסופית משמעות שונה המקרה הידוע שמישהו גזל קרש ובנה דירה ועכשיו לחזור בתשובה ההלכה היבשה להחזיר הקרש כלומר להרוס הדירה להרוס הבית ולהחזיר הקרש גזל חכמים יעשו וממילא יחזרו בתשובה ילך להרוס הבית עשו תקנת השבים שבמקום להחזיר הקרש העלות ובזה יוצאים חובה תקנת השבים רצה המערכות במובן במהות שמישהו יחזור בתשובה בהגדרה,בריאות,0.98442686,"('0.032*""הבריאות"" + 0.028*""החולים"" + 0.017*""חולים"" + 0.007*""בתי"" + 0.007*""קופות"" + 0.005*""התקנות"" + 0.005*""בריאות"" + 0.005*""למשרד"" + 0.004*""לבתי"" + 0.004*""העורף""',)",3
9163,בגדול בסך הכול אתרים מקודשים לעם היהודי לעם היהודי אתרים מעדות אחרות מכבדים האתרים אמרתי שנעשה בענין לצאת בסופו ומנסים לכוון שאתר הרשבי אתר מכובד מהיום נקי אסתטי ייתן שירות שבאים שירות וכמובן חד משמעי ובאופן קטגורי מתייחס לדוכנים בעירייה והיו דוכנים שהיינו מאפשרים לאנשים בסופו צורך בדוכנים שמתפרנסים להסדיר הכול מכובד ובסך הכול התוצאה בסופו ולשם מושך שכולם ייהנו אומרת,בטחון,0.98417515,"('0.007*""חיילים"" + 0.004*""וביטחון"" + 0.004*""ועדות"" + 0.004*""משוחררים"" + 0.004*""יושב-ראש"" + 0.004*""חודשים"" + 0.003*""בודדים"" + 0.003*""ומתן"" + 0.003*""משפחה"" + 0.003*""לקח""',)",3
