,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
7265,ברשותכם הבוקר להעלות זכרו הרב אהרון לייב שטיינמן להקריא שאמרתי מילים לזכרו הבוקר נלקח לבית עולמו המנהיג המרכזי הזרם הליטאי במגזר החרדי הרב אהרון לייב שטיינמן 104 במותו פטירתם הרב שך והרב אלישיב הפך לסמכות הרוחנית העליונה במגזר החרדי הרב שטיינמן תלמיד חכם עצום ומידת הענווה בולטת באישיותו מעשיו והילוכו יהודי באשר בסוגיות רגישות הצליח הרב ברגישות להנחית ערכיו העניק הסכמה שבשתיקה להקמת הנחל החרדי בצהל ואף אישר הקמת מקומות לנשים בתחום ההייטק בערים החרדיות ועודד תעסוקת נשים חרדיות הרב שטיינמן דמות מתונה הגיוס לצבא והוביל קו פשרני שהורה לתלמידיו להתייצב בלשכות הגיוס וחתימה דחייה ואסר עליהם לקיים הפגנות,חינוך,0.99024236,"('0.006*""גבוהה"" + 0.006*""הכנסה"" + 0.005*""אישור"" + 0.004*""מוסדות"" + 0.004*""בשנת"" + 0.004*""להשכלה"" + 0.004*""הכספים"" + 0.003*""אחוזים"" + 0.003*""עולים"" + 0.003*""ציבור""',)",8
916,6 לחוק נישואין בהצעה שהתחילה ה-18 על-ידי צירוף הצעות פרטיות בסופו התגלגל לכנסת ה-19 והוועדה גיבשה שכלל נקודות המרכזי העלאת הנישואין המותר מגיל שבע עשרה לגיל שמונה עשרה ובמקביל להעלאת הגיל אלמנטים קביעת 16 כגיל מינימום שבית המשפט משפחה רשאי היתר לנישואין; הוראה שמחייבת המשפט משפחה תזכיר עובד סוציאלי כשהנישואים 16 לגיל 17; עקיף שהעביר הטיפול הפלילי בסוגיות לפרקליטות; וחובות דיווח לוועדה חובות הדיווח שהוטלו רב גורמים ממשלתיים מטרתם לוועדה פנורמית כללית הדברים פועלים ברשות המבצעת במסגרת הדיונים שנחקקו בחקיקת התברר לוועדה תת אכיפה הזה; תת אכיפה איזשהו חוסר התאמה הגורמים הממשלתיים השונים שמטפלים,בריאות,0.9897165,"('0.011*""בתי"" + 0.011*""החולים"" + 0.006*""חולים"" + 0.005*""הפריפריה"" + 0.004*""חלוקתי"" + 0.004*""חברתי"" + 0.004*""לצדק"" + 0.004*""בבתי"" + 0.004*""הבריאות"" + 0.004*""הארץ""',)",8
6957,ראשית מברכת היושבת שקיים חייבת לציין בזכותה גילה גמליאל שחוקקה לראשונה מאפשר לנפגע עבירה לפנות לבית משפט ולבקש להגביל מגוריו העבריין עבודתו העבריין במידה ונפגע העבירה עובד בסביבה העבודה מתגורר בסביבה ששכחו שנפגעי עבירה לומדים לאו במוסד חינוכי רשמי נדבר ונרחיב הדיבור לומד באוניברסיטה בתיכון רחמנא לצלן שהיו פגיעות עברייני מין בתלמידות תיכון בתלמידים בוודאי לומד לאו במוסד חינוכי מסודר לומד לימודי שפה מישהי דיברה אתי מדרש נפגעי עבירות מין שלאחר מכן חוזרים לבית המדרש יעלה הדעת שהעבריין באותו מדרש,בריאות,0.9879408,"('0.011*""בתי"" + 0.011*""החולים"" + 0.006*""חולים"" + 0.005*""הפריפריה"" + 0.004*""חלוקתי"" + 0.004*""חברתי"" + 0.004*""לצדק"" + 0.004*""בבתי"" + 0.004*""הבריאות"" + 0.004*""הארץ""',)",8
8280,הספיק להתעדכן בסיור הקבינט בסיכום הנחה המועצה לביטחון לאומי להיכנס לעבודה יסודית הסיור באוגוסט האחרון להיכנס לעבודה מואצת תעסוק תעסוק בהקצאות תקציביות להתמודד הפרצות בגדר הקיימת ובמקביל לתכנן הפתחות לצורך בטרמינולוגיה ממליץ לאמץ המילים פתחות למקומות בהם גדר ופרצות למקומות בהם גדר גדר חומה היינו הך בעיניי למקומות בהם גדר ונבעו פרצות מעצמן בגין פלסטינים שבחים עבריינים ומחבלים שמסיבותיהם החליטו להקל עצמם בכניסה לישראל ובחזרה ממנה לצרכי לצרכי טרור ובין לצרכים פליליים,רווחה,0.9866212,"('0.012*""הילד"" + 0.005*""הבריאות"" + 0.005*""אומרת"" + 0.005*""לזכויות"" + 0.004*""ילד"" + 0.003*""לידה"" + 0.003*""בגיל"" + 0.003*""טיפול"" + 0.003*""הנתונים"" + 0.003*""הרך""',)",8
8693,ביקשנו לזמן מודה שבאתם אמנם עברו שבועות מאז השריפה הגדולה שהשתוללה בחיפה בזכרון יעקב ובמקומות וטוב שכך מטבע הדברים בזמן אמת עיקר תשומת מופנית להציל חיי ותוך למזער הנזק מהפגיעה בבעלי ברכוש להבדיל שעכשיו צריכים לשאול עצמנו למנוע פגיעה בהיקפים גדולים באירועי השריפה הבאים נזק ואובדן שחברה מוסרית להתייחס בשלוות נפש ציניקנים מחוץ לחדר שבוודאי ישאלו עצמם הבוקר מתעסקת בצבים שאולי נשרפו ביער בכלבים הצליחו להימלט העשן ונלכדו באיזושהי דירה מייחס חשיבות,חינוך,0.98661244,"('0.080*""החינוך"" + 0.023*""התרבות"" + 0.020*""והספורט"" + 0.013*""חינוך"" + 0.010*""הספר"" + 0.008*""הלימודים"" + 0.008*""מערכת"" + 0.008*""במערכת"" + 0.005*""שנת"" + 0.005*""תלמידים""',)",8
5000,מעבר למנוע אסון לאומי להתגייס למנוע אסון לאומי קריסת מבנים אחריות למדינה באותם מבנים בנתה כמבנים לדיור ציבורי והם נמכרו כשהתשתית עומדת הרגלים בקריית שמונה ובעוד מקומות כשדיירים נתבקשו להתפנות ממבנה מסוכן בניין שהמדינה בנתה ומכרה במצב לדיירים מוחלשים פינתה מהבית ואין פתרון לאכלוס מחדש למימון העלות האכלוס מחדש פתרון ואין גיבוי לפעולות מיידיות שבחלק מהמבנים ייעשו פעולות חירום ציפוי עמודי בטון במתכת פתרונות דומים להחזיק מהמבנים להחלטה ארוכת טווח מנכל השיכון,נשים,0.9866121,"('0.033*""נשים"" + 0.016*""מעמד"" + 0.016*""לקידום"" + 0.015*""האישה"" + 0.010*""הנשים"" + 0.010*""אלימות"" + 0.010*""מגדרי"" + 0.008*""פותחת"" + 0.007*""מינית"" + 0.007*""ולשוויון""',)",8
8839,ביקשתם לאור אירוע שהתרחש כחודש בבריכת השחייה במרכז ציפורי בירושלים נתלה שלט עובדי הבריכה בזו הלשון מציל יהודי צר שבשנת נתקלים במקרים ניסוח מדיר וגזעני במרחב הציבורי מבינה ממה חקרנו שהשלט אמנם נתלה רקע כוונות טובות ויוזמה מקומית העובדים הבריכה ימים מסוימים שחייה מופרדת לנשים וחשוב למתרחצות שתהיה מצילה אישה מציל גבר שאינו יהודי מובן שהניסוח פוגעני ואפשר למצוא פגיעה שמחתי מהמנכל הבריכה הודיע שהשלט הורד ושבבריכה מצילים מהמגזר הערבי,תחבורה,0.9862478,"('0.008*""העובדים"" + 0.005*""הכול"" + 0.004*""הרוגים"" + 0.004*""עירונית"" + 0.004*""בתאונות"" + 0.003*""דרכים"" + 0.003*""השכר"" + 0.003*""צריכים"" + 0.003*""ההרוגים"" + 0.003*""מבין""',)",8
6876,הגיבורים הללו עזבו כפריהם עזבו ביתם ויצאו למסע ארוך וקשה לעלות לארץ כשחלקם מתו וחלקם נעדרו ואין משפחה מיהודי אתיופיה בישראל איבדה קרוב משפחה לארץ עלייה ששילמה מחיר כבד בדרכה לישראל מאשר עליית יהודי אתיופיה עלינו לזכור מורשתם ולהוקיר זכרם אחינו ואחיותינו שנספו מחר נעלה להר הרצל לטקס הממלכתי לזכרם יהודי אתיופיה שנספו בדרכם לישראל נשקיף ירושלים המאוחדת שהודות לגיבורי ששחררו ירושלים התגשם חזון הנביאים קיבוץ הגלויות מארבע כנפות הארץ,דיור,0.9862279,"('0.006*""הציבורי"" + 0.006*""הדיור"" + 0.006*""מדינת"" + 0.004*""צריכים"" + 0.004*""הבריאות"" + 0.003*""דירות"" + 0.003*""מצד"" + 0.003*""מאז"" + 0.002*""שצריך"" + 0.002*""רבות""',)",8
8239,עדות נוספת עדות מצולמת חיה שנעשו ניסויים באתר עמותת עמרם בשתי אחיות חנה ומזל חדד שעלו מתימן ב-1949 בעדות מספרות האחיות שמיד נחיתת המטוס הופרדו מההורים ונלקחו לבית-החולים ביפו לטענתן להן איזושהי אלרגיה בעיניים כתוצאה מהחול שעף לכיוונן בזמן עלו למטוס בבית-החולים הזריקו להן לקרנית חומר שגרם להן לעיוורון חלקי האב חיפש אותן ידע וכשהוא מצא אותן בבית-החולים הבריח אותן משם וכך נגמרה מסכת הייסורים הראייה שלהן הולכת ומידרדרת,תחבורה,0.9860529,"('0.012*""בדרכים"" + 0.005*""פנים"" + 0.004*""לביטחון"" + 0.004*""לבטיחות"" + 0.003*""המצב"" + 0.003*""המשטרה"" + 0.003*""הקטל"" + 0.003*""הכיסאות"" + 0.002*""תשעט"" + 0.002*""בקטל""',)",8
2950,המקרה גבעת עמל מתייחסים אליו כמקרה ייחודי דופן אומרת החקיקה חקיקה ספציפית לאירוע שנקרא גבעת עמל האירוע אירוע ספציפי וככה מתייחסים אליו בחקיקה להסיק מאותו למקרים פנו אליי אזורים וביקשו לבוא ולהיות מעורבים אמרתי ברורה שהנושא ספציפי ומהותי לגבעת עמל ההשלכות הנקודתיות לגבעת עמל שכן אמרתי והסכמתי לנציג מתל גיבורים שרצה לבוא ולהגיד מילים הסכמתי שבפתיחת ניכנס לחקיקה תל גיבורים ומקרים להסיק גבעת עמל להתחיל בחידוד דבריי,ניצולי שואה,0.9856446,"('0.010*""השואה"" + 0.009*""הביטחון"" + 0.008*""ניצולי"" + 0.008*""האוצר"" + 0.007*""שואה"" + 0.004*""לניצולי"" + 0.003*""מבחינת"" + 0.003*""ולוועדת"" + 0.003*""שוק"" + 0.003*""הכלכלה""',)",8
