,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
5365,במרוצת וביתר בחודשים האחרונים נחשפות בזו עדויות נשים שנפגעו רופאים חלקן מטופלות חלקן בעצמן קולגות רופא שנמצאות תחת מרותו ככל שעוד תלונה מוגשת מתחוורת לנגד עינינו תמונת מציאות סדוקה ועכורה דפוסי התנהגות ואתיקה מקצועית מקולקלים מהיסוד פגיעות מיניות במטופלות תחום שסובל ממערך הסברה רעוע ומכשלים רבים שמצויים בהליך מיצוי הדין הרופא הפוגע החל בסחבת ארוכה שמביא לעיתים לכדי אבסורד הפוגע ממשיך בעבודתו ונשים ממשיכות חשופות לפגיעתו וכלה בהסדרי השתקה המוסד והפוגע רבות הדרכים לשיפור המערכת והגברת צעדי המניעה קמפיין הסברה לזכויות נשים בעת טיפול הכשרות ורענון נהלים בקרב רופאים ורופאות ייעול וקיצור הליך ההשעיה ומיצוי הדין הפוגע פרסום רשמי הנוהל לטיפול בפגיעות מיניות צוותים רפואיים שתקוע במשרד הבריאות,בריאות,0.99110365,"('0.009*""החולים"" + 0.006*""בתי"" + 0.004*""הבריאות"" + 0.004*""הסתייגויות"" + 0.004*""חולים"" + 0.004*""צריכים"" + 0.004*""הדברים"" + 0.003*""אגף"" + 0.003*""תכנית"" + 0.003*""הגורמים""',)",5
5401,ברשותכם אפתח הבוקר בשיר מילים לזכרו הרב אהרון לייב שטיינמן הבוקר נלקח לבית עולמו המנהיג המרכזי הזרם הליטאי במגזר החרדי הרב אהרון לייב שטיינמן 104 במותו פטירתם הרב שך והרב אלישיב הפך לסמכות הרוחנית העליונה במגזר החרדי הרב שטיינמן תלמיד חכם עצום ומידת הענווה בולטת באישיותו מעשיו והילוכו יהודי באשר בסוגיות רגישות הצליח הרב ברגישות להנחיל ערכיו העניק הסכמה שבשתיקה להקמת הנחל החרדי בצהל ואף אישר פתיחת מקומות לנשים בתחום ההייטק בערים החרדיות ועודד תעסוקת נשים חרדיות הרב שטיינמן דמות מתונה הגיוס לצבא והוביל קו פשרני כשהורה לתלמידיו להתייצב ללשכות גיוס לחתימה דחייה ואסר עליהם לקיים הפגנות,עולים,0.9901279,"('0.013*""העלייה"" + 0.009*""הקליטה"" + 0.008*""הבאים"" + 0.007*""ברוכים"" + 0.007*""איתנו"" + 0.006*""אלינו"" + 0.005*""והקליטה"" + 0.005*""יושב"" + 0.005*""לוועדת"" + 0.004*""והתפוצות""',)",5
5035,נוהל פונדקאות חול שעליו ניהלנו בשנה שעברה שנתיים המשפט העליון דרש לחשוף הנוהל נעשה נוהל שעוסק בפונדקאות ישראלים מחוץ לשטחי מדינת נוהל חול התוצאות היעדר פרסום הנוהל שמנסים לעבור התהליך מקבלים הכוונה מהו התהליך אמורים לעבור שקועים בבירוקרטיה איומה נאלצים להשתמש בעורכי דין ולהוציא כספים בשעה מבינים יכולים להבין בהיעדר נוהל שקוף לאיפה אמורים אמורים הזכויות נורא נורא נהלים אמורים להתפרסם איזו סיבה שהנוהל יפורסם ושאנחנו ועדה מבקשים הנוהל מקבלים החלטה מעמיק שנעשה שהנוהל חייב מועבר חודש ימים ועדיין חולפת מקבלים התשובות,בריאות,0.9883337,"('0.008*""מבקר"" + 0.003*""הבריאות"" + 0.003*""אומרת"" + 0.002*""במסגרת"" + 0.002*""ביקורת"" + 0.002*""טיפול"" + 0.002*""חודשים"" + 0.002*""הסמים"" + 0.002*""השנים"" + 0.002*""קבע""',)",5
9591,שישי קיבלנו הוכחה מצמררת רב סמל אסף אריה סגן מפקד תחנת חדרה בגמלאות יצחק אריה שירת קרוב ל-20 בשירותי הכבאות בחדרה קץ לחייו בגיל 37 והשאיר אחריו אישה שלושה אחים ובני משפחה כואבים אלמנתו ואחיו איתנו ידברו בהמשך שזאת תוצאה ישירה לטעמי היעדר טיפול רבותיי התנהל בחודש יולי ויכולנו להציל מרגישה פסיכולוג מתחיל נפגש אסף פסיכולוג אותות המצוקה שאסף שידר בחודשים האחרונים שמצבו הורע ורק המשפחה ידעה חשש לפנות לעזרה בכבאות שרוי במצב לצערנו נשבר ונאלץ לפנות לפתרון והכי זמין,בריאות,0.9880387,"('0.009*""החולים"" + 0.006*""בתי"" + 0.004*""הבריאות"" + 0.004*""הסתייגויות"" + 0.004*""חולים"" + 0.004*""צריכים"" + 0.004*""הדברים"" + 0.003*""אגף"" + 0.003*""תכנית"" + 0.003*""הגורמים""',)",5
1660,השורש הסוגיה עליה נובע שהחינוך העל יסודי בישראל רובו ככולו מוכר שאינו רשמי אומרת מופעל ומעט העיריות מופעל קבלני משנה רשתות מייצר משולש שלושה שותפים לחינוך העל יסודי העירייה הרשתות וההורים כשלכל שמטריד שהרשתות מקבלות שיפוי הוצאות ההנהלה וההפעלה נדרשות קבלן ביצוע מתוקצבות ההוצאות נלקח מההורים כאמור משלמים סכומים גבוהים ובעיקר מוטרדים משאלות השקיפות שדיברתי תיכף נציגת הנהגת דיברו הקושי שנובע חשבון נפרד שמחייב ושקשה להבין לאן הולכים התשלומים וממילא לעקוב ושבמוסדות פנימייתיים הכרח חובה להשקיף ההוצאות מטריד,חינוך,0.98771507,"('0.063*""החינוך"" + 0.018*""התרבות"" + 0.015*""והספורט"" + 0.009*""חינוך"" + 0.007*""באדר"" + 0.007*""במערכת"" + 0.006*""הספר"" + 0.006*""תשעז"" + 0.005*""מערכת"" + 0.005*""בתמוז""',)",5
4710,שנתחיל לציין שניתנה שמענו בתקשורת לקראת חגיגות הסילבסטר סיום האזרחית וכו הבדיקה שהופצה בשיתוף פעולה המשטרה והרשות למלחמה בסמים ערכה לבחינת סם אונס נייר לקמוס שאפשר לטפטף ולראות המשקה מכיל סם אונס חומר שאחר לגלות תחת המחאה שבעצם הנשים שצריכות להיזהר ולחשוש ולפחד לחייהן האנסים מכשיר שחולק שנמסר ב-20000 עותקים ברחבי מניחה שבעיקר המרכז תל מקומות הבילוי הבנתי שהיו תגובות חיוביות מהציבור הוצף שבו התגלה סם אונס כתוצאה מהערכה מדייקת נציג משטרה תשובה לשאלה,נשים,0.9870859,"('0.006*""נשים"" + 0.005*""המקומי"" + 0.004*""השלטון"" + 0.004*""צריכים"" + 0.003*""מבקר"" + 0.003*""הנשים"" + 0.003*""החשמל"" + 0.002*""התופעה"" + 0.002*""כלל"" + 0.002*""שהן""',)",5
4569,מאחר ואמרתי להעיר תשומת לבכם לחידוש בחדר התחלנו מהיום לקיים התערוכות תערוכה שבתה לבי והעתיקה נשמתי בסיור חולים רעות במכון אגם התעורכה נקראת דמעות גואש תערוכה כוללת ציורים גברים ונשים הסובלים מהפרעות אכילה וטופלו במכון אגם במרכז הרפואי שיקומי רעות תל התערוכה מהווה ביטוי לתהליך מהמטופלים בעזרת טיפול באומנות מחר מיוחד הפרעות אכילה נתמקד רציתי למשוך תשומת לבכם תשומת לבו מנכל הבריאות שהבית חולים מהאחריות ללמוד הציורים אתן למנכל הדברים ונמשיך הלאה,כלכלי,0.9867296,"('0.008*""ערך"" + 0.005*""הבריאות"" + 0.004*""הדברים"" + 0.004*""הרשות"" + 0.004*""ניירות"" + 0.003*""המחיה"" + 0.003*""יוקר"" + 0.003*""לביטוח"" + 0.002*""לניירות"" + 0.002*""האוכלוסין""',)",5
5815,הצטרפתי לממשלה האמנתי שאפשר ביחד לעם קיוויתי שסוף 26 הזיכרון לרבין לאומי שכלל אזרחי ירגישו מצפה ממי בממשלה להתנהג באחריות לאומית מצפה מחבריי בקואליציה ובממשלה לפעול לשינוי ולריפוי חברתי לסיעה צייצה ציוץ שטוב מצויץ וטוב שמחקה מכיר ויודע שליבה ענק ובטוח עצמה מצטערת שצייצה להתעכב שבעיני החליפי יאיר לפיד במת צאצאיו האידיאולוגיים יגאל עמיר יושבים מקבלים לגיטימציה רצויים האולפנים אילולא חוללנו הנס ממשלת השינוי שרים בממשלה החליפי שאמר הדברים כתב מעטות הטקסט,נשים,0.98672265,"('0.017*""האישה"" + 0.015*""מעמד"" + 0.015*""לקידום"" + 0.011*""פותחת"" + 0.011*""מגדרי"" + 0.009*""מהיר"" + 0.008*""נשים"" + 0.008*""ולשוויון"" + 0.007*""כהן"" + 0.006*""וחבר""',)",5
2732,ההיי-טק הישראלי אתגרים מאופיין בכך מתחום שההשתנות בסיס חודשי ושנתי חברות הענק יכולות לקום וליפול בהיי-טק ומוצרי ההיי-טק יכולים להשתנות ממחשב אישי בדור הדור שבעצם גדל תוך מהפכת המחשבים והיום כלים ענין אפליקציות ובעצם בכף ידך מיזרור שבבים בהיבט חומרה בהיבט תוכנה משתנה בסיס חודשים משתנה בסיס חודשי והרגולציה משתנים בסיס תפקידה רלוונטית ההיי-טק החסמים המגבלות הצרכים ולהתאים הרגולציה הממשלתית ההשקעות הממשלתיות להשתנות ולצרכים הדינאמיים עולם ההיי-טק ולהיות כתובת,נשים,0.9861536,"('0.006*""נשים"" + 0.005*""המקומי"" + 0.004*""השלטון"" + 0.004*""צריכים"" + 0.003*""מבקר"" + 0.003*""הנשים"" + 0.003*""החשמל"" + 0.002*""התופעה"" + 0.002*""כלל"" + 0.002*""שהן""',)",5
5371,החוקה ארבעה נושאים באותו עניין הסדר הכרונולוגי 1 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 7 התקנות חל עליהן אישור מיום טו בחשוון התשפא הדברים שעדיין אישרנו; 2 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 8; 3 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספותתיקון 9 תיקון; 4 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספותתיקון 9,קורונה,0.9857763,"('0.036*""הקורונה"" + 0.026*""הוראת"" + 0.020*""נגיף"" + 0.015*""סמכויות"" + 0.011*""להתמודדות"" + 0.011*""מיוחדות"" + 0.007*""צו"" + 0.007*""פעילות"" + 0.007*""התשף-2020"" + 0.006*""הגבלת""',)",5
