,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
9948,הרקע לקביעת עניינים שונים קשורים קיבלנו פניות שהציבו תהייה המגבלות שמוטלות מגבלות ההפגנה שמוטלות ביחס למעונו הפרטי בעיר רעננה סוג פניות שקיבלנו מחברי באופוזיציה לאחרונה נדרשתי כיור לפניות ועדי עובדים ושל הסתדרות העובדים הכללית בעקבות הטלת מגבלות מניעת קיום משמרות מחאה והפגנות בתים פרטיים שליטה בתאגידים במסגרת מאבק עובדים סכסוך לגיטימי שמוכרז כדין נשען יסודות מוצקים דיני סכסוכי בישראל שתי הסוגיות הללו שנוגעת במובהק לשאלת ההפגנה בתים נבחרי ציבור ועובדי ציבור והסוגיה נחשפתי אליה לראשונה- הטלת הגבלה גורפת מחאה בתים פרטיים אנשי עסקים בעיצומו סכסוך הביא לקביעת,ניצולי שואה,0.98890704,"('0.008*""השואה"" + 0.005*""ניצולי"" + 0.005*""בשבת"" + 0.004*""שואה"" + 0.004*""שיר"" + 0.003*""ציבור"" + 0.003*""נקרא"" + 0.003*""הכללי"" + 0.003*""בהם"" + 0.003*""הכספים""',)",7
9010,הנתונים מקבל כ-30000 שעובדים בירושלים המזרחית איבדו פרנסתם בזמן משבר הקורונה הקושי העצום בתחום המחשבים הניידים המחסור מוערך כיום ב-50000 מחשבים מחציתם בבתי הספר הרשמיים ומחציתם בבתי הספר המוכרים הלא רשמיים מתווסף המחסור בתשתיות והקושי להתחבר ללמידה מרחוק הנתונים מקבל -50% מהתלמידים בירושלים המזרחית אינם יכולים להתחבר לתשתיות רקע אפליה תוכנית הטאוגי תוכנית הלימודים הפלסטינית שיותר מ-80% מהתלמידים בירושלים המזרחית ללמוד בתוכנית טאוגי מקבל נתונים לפיהם ישנה הטיה תקציבית מתמשכת ארוכת לטובת התוכנית הישראלית שכמובן מעמיק המצוקה ההדרה כלפי התלמידים הפלסטינים,חינוך,0.98808867,"('0.069*""החינוך"" + 0.020*""התרבות"" + 0.017*""והספורט"" + 0.011*""חינוך"" + 0.010*""הספר"" + 0.007*""מערכת"" + 0.007*""במערכת"" + 0.006*""תלמידים"" + 0.005*""בחינוך"" + 0.005*""המיוחד""',)",7
6289,חייבת שמדינת וזאת הסיבה שלקחנו בפרספקטיבה 30 30 התקדמה והתחילה להוביל ולקחה צעדים שבזמנו מתקדמים בתחום איסור פרסום בתחום הסברה בתחום גמילה ותקצבה התחילה איפשהו במהלך ה-30 נרדם והתרדמת בחיי נקודת המוצא נקודת המוצא להעיר הענק הישן מתרדמתו ולהמשיך משום שבזמן שמדינת נרדמה התקדם והמשיך באמצעות החפיסות האחידות באמצעות התמונות החפיסות באמצעות הגבלות מחמירות פרסום הפרסום באינטרנט גמילה וכן נקודות מכירה ואיסור עישון במקומות מוסדות ציבור להמשיך למקומות פתוחים בסיסי צהל גני חיות וגני שעשועים,ניצולי שואה,0.9871459,"('0.008*""השואה"" + 0.005*""ניצולי"" + 0.005*""בשבת"" + 0.004*""שואה"" + 0.004*""שיר"" + 0.003*""ציבור"" + 0.003*""נקרא"" + 0.003*""הכללי"" + 0.003*""בהם"" + 0.003*""הכספים""',)",7
7023,לנוכח המלחמה הארורה והקשה ועצובה חייבת לשתף שבבוקר בנסיעה מהבית ביפו כשהגעתי הקשבתי לרדיו ואחד הדברים שקרעו והתחלתי לבכות כשאבא התחיל אבא לילד תשע נורית קנטי בגלי צהל ילד תשע בזמן מלחמה בקומה מינוס 1 בתחנת המשטרה עשה ההקבלה לאיך מלמדים באים ואמר כשאת גדלה מלחמות והיסטוריה עקובה מדם נראית מלחמה מעסיק מין תקועים מחשב טלפון מצד בחרדות הרגע שפשוט הבנתי עלינו כמבוגרות ומבוגרים קורה לנשמות הקטנות שצריכים בגיל תשע להסתכל במבט כואב,ניצולי שואה,0.9867909,"('0.008*""השואה"" + 0.005*""ניצולי"" + 0.005*""בשבת"" + 0.004*""שואה"" + 0.004*""שיר"" + 0.003*""ציבור"" + 0.003*""נקרא"" + 0.003*""הכללי"" + 0.003*""בהם"" + 0.003*""הכספים""',)",7
1822,במלאת כעשרים ויותר לחוק הטרדות מיניות חשבתי שראוי שוועדת החינוך תפתח צוהר שמשרד החינוך ומערכותיו השונות עושות בתחום המניעה ותוך ומצפה תמונת המתרחש במרחב מערכת החינוך כיום מודעים לקיומם הטרדות מיניות ושהן אסורות שאלות רבות ופרשנויות ואחרות הבוגרים מתחבטים בשאלות התלמידים הבנים שכן שצריכים הדרכה נאותה ומקצועית ואנו כהורים שואלים מוגנים תרתי משמע יפגעו ושלא יפגעו חס ושלום זוכרים לאחרונה פרשיות המורה המטריד הממלא הטרדה מינית בתנועת נוער היחסים האסורים מורה לתלמיד ומי,חינוך,0.98678666,"('0.069*""החינוך"" + 0.020*""התרבות"" + 0.017*""והספורט"" + 0.011*""חינוך"" + 0.010*""הספר"" + 0.007*""מערכת"" + 0.007*""במערכת"" + 0.006*""תלמידים"" + 0.005*""בחינוך"" + 0.005*""המיוחד""',)",7
9942,כול מזדהה שאמרת שהמטרה להימנע מלהגיע להליכים משפטיים המטרה לפרויקטים שמבוצעים בהסכמה לרתום שאפשר התושבים שקודם כול יבינו התהליכים לחיכוכים בטח הדיירים מבחינתנו הפרויקטים בראש ובראשונה לטובת הדיירים שמתגוררים בפרויקט הלקוח הדברים החשובים מבחינתנו שלפני שיזם להחתים הסכם שיערוך איתם כינוס שישב ויסביר מהות הפרויקט ישב ויספר מיהו מהו הניסיון בבנייה ובפרויקטים התחדשות עירונית התהליך מקדמים התהליך הרי כלל הדיירים לקדם תבע מגישים בקשה להיתר בנייה הפרוצדורה יסביר בתחילת הדרך התהליך,כלכלי,0.9864413,"('0.019*""תקציב"" + 0.006*""הכספים"" + 0.005*""האוצר"" + 0.004*""המצב"" + 0.004*""המחיה"" + 0.003*""התקציב"" + 0.003*""באפריל"" + 0.003*""מכן"" + 0.003*""יוקר"" + 0.003*""מבחינת""',)",7
1928,פונה שפניתי בישיבה הקודמת פניתי אישית לשר במת בשבוע למשרד המשפטים ולמשרד התחבורה לשקול ולהכין תוכנית רישוי מסוים הכלים החשמליים מהאופניים החשמליים עובר הקורקינט וההובר בורד הדברים בשעה בטח ממציאים כלי תחבורה איזשהו רישוי מינימלי הדרכה מינימלית אחריות הורית מינימלית אפשרות לאכיפה מינימלית וביטוח פרוץ קורא לשר התחבורה ולשרת המשפטים שמתנגדים לנושא הרישוי רישוי מינימלי עודף רגולציה מיותרת להסדיר ייתכן שמאות-אלפי הכבישים המדרכות בכלים מכלים שונים ואין אחריות,עולים,0.985842,"('0.010*""העולים"" + 0.009*""עולים"" + 0.008*""אתיופיה"" + 0.007*""יוצאי"" + 0.007*""חיילים"" + 0.006*""החדשים"" + 0.005*""בישראל"" + 0.004*""בודדים"" + 0.003*""משוחררים"" + 0.003*""השכלה""',)",7
2914,שהתגלה בדוח חייבת שאמנם נפלתי מהכיסא מתואר בעייתית הסיפור העברות לתוך סעיפים תקציב מקיימים אירוע בכבוד והדר קובעים תקציב וסדר עדיפויות כשבוועדת הכספים יושבים מבוקר ליל ליל להחליט לאן ילכו הכספים למחרת מתחיל תהליך העברות תקציביות והעברות הסעיפים מכוונת הדברים למשרד האוצר ותודה שהגעתם מתחיל תהליך העברת תשלומים מפרויקט שאליו התכוונו לפרויקט שממש התכוונו אליו חשבתי שהכנסת הריבון מסתבר שמשרד האוצר כספים וסדר עדיפויות תראו בעייתיים,כלכלי,0.98542476,"('0.019*""תקציב"" + 0.006*""הכספים"" + 0.005*""האוצר"" + 0.004*""המצב"" + 0.004*""המחיה"" + 0.003*""התקציב"" + 0.003*""באפריל"" + 0.003*""מכן"" + 0.003*""יוקר"" + 0.003*""מבחינת""',)",7
3425,בסעיף האחרון בסדר-היום סכנת סגירת המאפייה המרחבית בקרית שמונה ופיטורי מאות עובדים קיימנו דיונים מכרז שאמר בתוצאות שבעצם הביטחון מפסיק לרכוש הלחם מהמאפייה המרחבית בקריית שמונה יביא לפיטורי 120 עובדים מקריית שמונה בסך הכול 150 עובדים ביקשתי ממנכלי הביטחון והכלכלה לדחות העניין למצוא פתרון ודחו המציאות כזו שבה עומד במצב שמעבירים למאפייה והמאפייה המרחבית בקריית שמונה תיסגר ולעובדים פרנסה בקריית שמונה נורא ואיום,עולים,0.9847361,"('0.010*""העולים"" + 0.009*""עולים"" + 0.008*""אתיופיה"" + 0.007*""יוצאי"" + 0.007*""חיילים"" + 0.006*""החדשים"" + 0.005*""בישראל"" + 0.004*""בודדים"" + 0.003*""משוחררים"" + 0.003*""השכלה""',)",7
1593,מאז שרוי בערפל קרה ידיעות שיותר מ-10% מהבדיקות נמצאו פגות תוקף והן במחזור סוגיות תעודת מחלים לאנשים שנבדקו ונמצאו אכן נוגדנים קורה שמבקר בחר להתייחס בדוח הביניים מניח שיתעסקו בדוח הסופי ודבר יכולים כתוצאה לערוך לנסות הדברים עומדים מהמסמך שהמממ העביר בסופו שבלי תמונת מודיעין מידע עומדים המחלה מדביקה מדביקה ותמונה ראויה שיעורי התחלואה הקשה שיעורי התמותה לנהל הקורונה בעתו נתחיל אנשי מבקר,בריאות,0.98473394,"('0.021*""מבקר"" + 0.014*""החולים"" + 0.007*""הבריאות"" + 0.006*""בתי"" + 0.006*""בדוח"" + 0.004*""הדברים"" + 0.004*""חולים"" + 0.004*""הדוחות"" + 0.003*""המבקר"" + 0.003*""דוחות""',)",7
