QuoteText,Topic,Topic_Prob
"אנחנו נפתח עם נאומים בני דקה. אני מפעיל את ההצבעה לצורך ההרשמה. חברי הכנסת, חבר הכנסת מוסי רז יפתח את הנאומים, בבקשה, ואנחנו נמשיך.",חינוך,0.5606582
"בוקר טוב. אני מתכבד לפתוח את ישיבת ועדת החינוך התרבות והספורט של הכנסת. היום ה-9 ביוני 2015 כ""ב בסיוון תשע""ה. פרוטוקול מספר 5. הנושא שעל סדר היום: דיווח שנתי לפי סעיף 6 לחוק זכויות התלמיד, התשס""א-2000. על-פי התקנות חלה חובת דיווח על משרד החינוך לדווח דיווח שנתי על הרחקות תלמידים מבתי הספר. משרד החינוך בבקשה.  ",חינוך,0.5622847
"1,000 שיכולים כבר לעבור להסבה. עשרה מפעלים בלבד מחוברים. ואנחנו כאן כדי לנסות ולהבין מדוע עשרה מפעלים – או רק עשרה מפעלים – מחוברים עד לרגע זה. אומר לכם כך, כפי שאנחנו נוהגים פה בוועדה, חברי ואני, שבסיום כל דיון יש החלטה לביצוע עם לוח זמנים – ואני לא מציע לאף אחד לא לעמוד בהתחייבויות או בהחלטות של הוועדה הזאת. אני אומר את זה כפתיח, אמירה, הנפת דגל, בעיקר בנושא הזה. בכל דיון אני אומר, מי שלא יכבד את הוועדה הזו, אנחנו נדע לא לכבד אותו בחזרה. ולכן אני בא בלב פתוח, בנפש חפצה, להקשיב, לשמוע. ואני מקווה גם שנצא עם החלטות ראויות. משפט אחרון, ברשותכם, כל מי שיתייחס, אני מבקש התייחסות עניינית, קצרה, שיודעת לתת מענה לשאלות ולתת מענה לדיון שמתקיים ברגע זה. מי כאן ממשרד התשתיות שיוכל להציג?",חינוך,0.6721026
"שלום לכולם, אני מתכבד לפתוח את ישיבת ועדת החינוך, התרבות והספורט של הכנסת, 6 ביולי 2017, י""ט בתמוז התשע""ה. הנושא על סדר-היום – אי-יישום תוכנית להקמת מעונות סטודנטים, של חבר הכנסת רועי פולקמן וחבר הכנסת פרופ' יוסי יונה.",חינוך,0.6333866
"אחרי כן אני אעשה עוד הפסקה של חמש דקות לנסות להגיע לאיזשהו פתרון. אישור מוסדות ציבור לעניין סעיף 46 לפקודת מס הכנסה. ארז אורעד, בבקשה. ",חינוך,0.5517197
"בוקר טוב לכולם, הדיון השני בוועדה היום. אני מתכבד לפתוח את ישיבת ועדת החינוך, התרבות והספורט של הכנסת, 22 בדצמבר 2015 י' בטבת תשע""ו. היום הוא גם יום עשרה בטבת, יום בו התחיל המצור על ירושלים, וגם יום שאנחנו משנת 1950 מציינים בו את יום הקדיש הכללי, בו אנחנו מזכירים את כל הנרצחים והנטבחים בשואה, שיום פטירתם לא נודע.",חינוך,0.62853116
"אנחנו נמצאים בשולחנה של ועדת החינוך, התרבות והספורט של הכנסת ואני מבין שיש דיון ציבורי סביב ספר חדש במקצוע האזרחות ""מכוונים"" שנשלחו למערכת החינוך, אני אומר בכנות ובגילוי נאות – והיא תהיה ראשונת הדוברות, פנתה אלי חברת הכנסת זהבה גלאון כבר לפני מספר שבועות בנושא, שבַּשְלו התנאים לקיום הדיון. הזמנתי אותה ושמתי אותם על סדר היום, ואכן סדר, סדר הדיון יהיה כדלהלן ואני אומר לכם כך: יהיה חבר כנסת, אורח, חבר כנסת, אורח, לסירוגין ואני אשמור על הכלל הזה. וגם חבר כנסת לא עומדת לו רשות הדיבור עד בלי די, בגלל ריבוי הדוברים וריבוי הנוכחים, יהיה תימצות של שתיים שלש דקות מכסימום, כשחברי הכנסת מאומנים לכך, ואם לא אז אני אעזור להם. בבקשה, חברת הכנסת. ",חינוך,0.82677567
"תודה. קודם כל תודה רבה שהסכמת לערוך את הדיון הזה. לי זה היה מאוד חשוב מן הבחינה של קודם כל, הנגיעה בנושא של נוער בסיכון, נוער שמשתמש בסמים, אנחנו מדברים על זה הרבה בוועדה, תמר, לך זה חשוב, את מעלה את זה הרבה פעמים. יש גם את הנושא של התדרדרות של בני נוער לסמי- פיצוציות וכל הדברים האלה. ובתוך כל הנושא הענק הזה לגבי החקיקות שהעברנו בכנסת, למשל, שהם לא יוכלו לשבת בגנם ציבוריים, אז אחרי ישיבה שהייתה לי ביחד עם הועדה למלחמה בסמים בהוד השרון, אנחנו מגלים שהנושא הזה לא נפתר על ידי כך שהם לא יושבים בגינות ציבוריות, אלא פשוט עובר למקום אחר. ",חינוך,0.50188196
אני פותח את הישיבה. על סדר היום אישור מוסדות ציבור לעניין סעיף 46 לפקודת מס הכנסה (רשימה שסימנה 8-237-15).,חינוך,0.9023638
"בוקר טוב. אני מתכבד לפתוח את ישיבת ועדת החינוך, התרבות והספורט של הכנסת. הנושא על סדר היום, ביוזמתה של חברת הכנסת דוקטור ענת ברקו: פעילות ארגוני זכויות בבי""ס – הרצאות   על פליטים וביקור במתקן חולות.",חינוך,0.94290084
